Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT5G37260	3.04808673781839	6.96460853569716	24.1549982836731	1.19334103485272e-16	2.51556290146953e-12	26.6226280630638
AT3G02990	1.64848851880283	3.30459650203434	13.6053340916955	8.5739765572143e-12	9.03697129130387e-08	16.0062155845613
AT2G29500	-5.03422239427133	5.52580216029024	-12.0621196803196	7.9375856697802e-11	5.57747686396555e-07	14.645646144847
AT3G24520	1.87157410671207	5.88296519834341	11.7100032393483	1.36000833433123e-10	7.1672439219256e-07	14.3855452517146
AT3G46230	-6.70686475839863	4.54449435151341	-11.1899099588496	3.0815813584301e-10	1.29919470071413e-06	12.5195327027835
AT5G65630	1.04689034284407	7.55377544084635	10.657590513916	7.32926981170495e-10	2.57501679384567e-06	12.8025593449933
AT3G24100	-1.27591561531676	5.98829525608889	-10.2371870461096	1.48511834889237e-09	4.02163309884847e-06	12.1093944309095
AT1G53540	-7.18475833013035	4.31696506544236	-10.160183006631	1.69386598856931e-09	4.02163309884847e-06	10.8647336304378
AT4G21320	-2.86414529571902	4.70513617619913	-10.1522578405516	1.71701602892012e-09	4.02163309884847e-06	11.8254991507235
AT5G48570	-4.00781944852682	6.42234124022337	-10.0366243130429	2.09483217431929e-09	4.41590622346507e-06	11.7523248117718
AT5G52882	0.878655457389263	7.64962096677825	9.82872238555763	3.00711558806931e-09	5.3988106597753e-06	11.430100770853
AT5G02810	-4.88722838332241	3.41933572364605	-9.81629001489225	3.07332675129524e-09	5.3988106597753e-06	10.4309080766173
AT1G09140	-1.24692803319115	7.02705198377674	-9.49609483277754	5.41978611504414e-09	8.78839163885619e-06	10.8545548496051
AT4G24780	1.92888453903518	6.97956802497608	9.38092698912252	6.66678826261348e-09	1.00382783268494e-05	10.6519217192756
AT5G59570	1.53152759707047	3.00574121141622	9.33068937533896	7.30076934587731e-09	1.02600145207396e-05	10.1463915103234
AT4G11880	2.74366277210706	2.91935675773326	9.18328906910718	9.54785421869965e-09	1.24573856879414e-05	9.78198659987874
AT4G25500	1.05176758959508	6.14373755665357	9.15550325110003	1.00462787805979e-08	1.24573856879414e-05	10.2508384201436
AT1G22770	-3.58828434880197	3.9530358567107	-9.09040436024608	1.13225945530215e-08	1.32600162876496e-05	9.95865247489605
AT1G31230	1.15744696335706	6.11499642896301	8.72153544023233	2.25244926943787e-08	2.49903318946054e-05	9.45967186549014
AT2G27820	-0.870911817340282	5.7358080604211	-8.68072414752556	2.4331458979033e-08	2.56453577639007e-05	9.38569323442098
AT5G36890	1.2247583128322	4.60535436523147	8.61795894837797	2.740889683174e-08	2.75133116768133e-05	9.25502933422586
AT5G08100	1.01612905244119	5.0387969772882	8.58180294601969	2.9362125745316e-08	2.81342550323301e-05	9.20094937633239
AT5G12020	-8.25511866634047	3.02859072291046	-8.51027440741023	3.36626941543795e-08	3.08525909901878e-05	6.99393105140742
AT3G54600	2.27253509446001	6.22312704299717	8.45791741424934	3.72206000587731e-08	3.2692093718289e-05	8.969418989947
AT4G30650	1.30980742613565	3.95757430596134	8.37528988359975	4.36477856536568e-08	3.52123504299555e-05	8.78000962024148
AT5G23010	2.80177772582197	5.76916490521909	8.36986128458207	4.41083538955334e-08	3.52123504299555e-05	8.80730679704489
AT4G38130	0.621709882462468	7.1245025301824	8.35835567806214	4.51012078562049e-08	3.52123504299555e-05	8.77295048517493
AT5G64170	-2.86718457519113	5.41520124127672	-8.33394210924581	4.72852989456641e-08	3.55990750633786e-05	8.73771725946535
AT2G03090	2.99853117656445	5.62589068290721	8.20452487845245	6.08370628530779e-08	4.4222251204927e-05	8.49463289190608
